customer_id,age,tenure_months,monthly_charges,support_calls,contract_type,payment_method,region,signup_date,churn
42,54.0,46,75.78,3,Two year,Electronic Check,East,2022-06-07,0
43,68.0,12,38.06,2,Two year,Debit Card,East,2020-09-19,0
44,24.0,13,25.39,3,Month-to-month,Credit Card,East,2021-11-09,0
45,38.0,62,52.01,5,Month-to-month,Credit Card,East,2018-09-26,1
46,26.0,60,,1,One year,Electronic Check,West,2023-05-01,0
47,56.0,43,46.93,3,Month-to-month,Bank Transfer,South,2022-01-17,0
48,35.0,68,73.96,1,Month-to-month,Credit Card,West,2019-11-30,0
49,21.0,5,92.79,2,One year,Bank Transfer,East,2022-03-22,0
50,42.0,37,30.79,0,Month-to-month,Electronic Check,West,2020-05-14,0
51,31.0,31,88.53,1,One year,Debit Card,West,2018-12-16,0
52,67.0,9,29.19,1,One year,Credit Card,West,2018-04-20,0
53,26.0,51,116.51,2,Month-to-month,Bank Transfer,East,2022-02-15,1
54,43.0,29,68.84,6,Month-to-month,Credit Card,West,2019-02-11,1
55,19.0,40,35.07,1,Month-to-month,,North,2019-10-12,0
56,37.0,41,54.24,3,One year,Bank Transfer,East,2018-02-20,0
57,,11,61.34,1,Month-to-month,Bank Transfer,West,2021-11-27,0
58,64.0,23,95.82,3,Two year,Electronic Check,North,2022-05-06,0
59,24.0,1,94.34,3,Month-to-month,Debit Card,West,2022-02-08,1
60,,46,81.19,1,Month-to-month,Credit Card,South,2021-01-15,1
61,25.0,21,30.59,1,Month-to-month,,West,2020-12-27,0
62,64.0,36,35.16,3,Month-to-month,Bank Transfer,West,2019-08-19,0
63,52.0,54,29.38,3,Month-to-month,Bank Transfer,South,2020-09-05,0
64,31.0,57,77.72,0,Month-to-month,Debit Card,East,2020-12-01,0
65,34.0,1,107.71,2,Month-to-month,Debit Card,South,2020-01-01,1
66,53.0,63,63.38,3,Month-to-month,Credit Card,East,2018-02-26,0
67,67.0,54,36.08,4,Month-to-month,Bank Transfer,South,2020-01-08,1
68,57.0,55,75.8,2,One year,Debit Card,West,2018-07-15,0
69,21.0,40,101.18,2,Month-to-month,Electronic Check,West,2022-11-19,1
70,19.0,15,94.17,2,Month-to-month,Bank Transfer,East,2022-08-29,0
71,23.0,21,108.15,1,One year,Bank Transfer,East,2020-12-21,0
72,59.0,47,47.79,1,Month-to-month,Credit Card,North,2021-07-10,0
73,21.0,53,39.4,1,One year,Electronic Check,North,2018-04-22,0
74,46.0,9,107.98,4,Month-to-month,Credit Card,West,2020-02-04,1
75,35.0,52,85.76,4,Month-to-month,Electronic Check,West,2019-12-12,1
76,43.0,57,,2,Two year,Credit Card,North,2021-04-16,0
77,61.0,26,94.23,0,Month-to-month,Electronic Check,North,2020-08-05,0
78,51.0,41,101.51,4,One year,Electronic Check,East,2018-01-26,0
79,27.0,35,81.5,2,Month-to-month,Electronic Check,South,2019-02-14,1
80,53.0,63,88.79,7,One year,Debit Card,East,2020-01-28,1
81,31.0,25,57.53,2,Two year,Bank Transfer,North,2019-06-15,0
82,48.0,38,73.87,5,Month-to-month,Electronic Check,West,2022-12-06,1
83,,2,72.42,2,One year,Debit Card,North,2021-09-02,0
84,32.0,7,104.8,2,Month-to-month,,West,2022-04-05,1
85,25.0,34,104.0,3,One year,Credit Card,West,2021-02-03,0
86,31.0,17,103.27,2,Month-to-month,Bank Transfer,West,2020-01-19,1
87,40.0,43,21.1,1,Two year,Bank Transfer,West,2023-01-16,0
88,57.0,59,94.95,0,Month-to-month,Credit Card,South,2022-01-27,1
89,38.0,51,95.87,1,Month-to-month,Bank Transfer,North,2018-09-03,1
90,33.0,54,87.84,5,Two year,Credit Card,East,2021-01-09,1
91,62.0,24,,3,One year,Debit Card,West,2019-10-24,0
92,35.0,25,104.2,1,Month-to-month,Debit Card,West,2020-06-27,1
93,64.0,71,67.03,3,Month-to-month,Electronic Check,East,2019-01-31,0
94,41.0,52,70.21,1,Month-to-month,,East,2019-06-06,0
95,43.0,70,32.47,2,Month-to-month,Debit Card,West,2023-01-31,0
96,,33,58.54,4,Month-to-month,Debit Card,East,2022-10-26,1
97,62.0,49,84.34,0,One year,Credit Card,East,2020-07-14,0
98,58.0,29,98.04,0,Month-to-month,Debit Card,South,2018-09-21,0
99,,63,41.72,3,One year,Bank Transfer,East,2022-08-12,0
100,32.0,22,33.78,3,One year,Debit Card,North,2020-02-29,0
101,62.0,26,86.3,2,Month-to-month,Credit Card,North,2021-07-21,1
102,18.0,28,20.19,2,Month-to-month,Bank Transfer,North,2022-09-26,0
103,42.0,49,,1,Month-to-month,Bank Transfer,West,2023-05-22,0
104,24.0,71,22.91,4,Month-to-month,Debit Card,North,2018-06-21,1
105,26.0,49,36.69,2,One year,,South,2018-09-22,0
106,41.0,20,38.13,3,Month-to-month,Bank Transfer,North,2023-06-10,0
107,18.0,63,58.77,5,One year,Credit Card,West,2023-01-20,0
108,61.0,61,,1,Month-to-month,Electronic Check,South,2020-11-15,0
109,25.0,49,107.43,3,Month-to-month,Electronic Check,North,2022-02-01,1
110,41.0,71,71.01,4,Month-to-month,Bank Transfer,South,2023-03-01,1
111,28.0,1,92.34,3,Month-to-month,Debit Card,South,2019-04-21,1
112,68.0,13,30.41,2,Month-to-month,Electronic Check,West,2018-12-22,0
113,34.0,51,42.54,6,Month-to-month,Debit Card,West,2020-11-15,1
114,25.0,56,90.29,1,Two year,Bank Transfer,South,2018-02-03,0
115,,62,25.28,1,One year,Credit Card,North,2018-09-21,0
116,52.0,32,68.66,5,Month-to-month,,West,2021-03-07,1
117,50.0,30,79.94,1,Month-to-month,Credit Card,South,2020-03-26,0
118,22.0,29,80.21,3,Month-to-month,Debit Card,East,2022-09-15,1
119,59.0,49,22.29,0,Month-to-month,Debit Card,East,2020-05-24,0
120,56.0,45,52.21,9,Month-to-month,Credit Card,West,2020-01-24,1
121,58.0,30,83.65,2,Month-to-month,Bank Transfer,North,2019-07-20,1
122,45.0,16,34.9,4,Month-to-month,Bank Transfer,East,2019-04-07,1
123,24.0,40,89.54,0,Month-to-month,Electronic Check,East,2021-04-06,1
124,26.0,19,94.59,0,Month-to-month,Electronic Check,East,2022-07-13,1
125,25.0,18,118.2,1,Month-to-month,Bank Transfer,North,2019-10-17,1
126,29.0,1,40.98,0,One year,Bank Transfer,North,2018-03-22,0
127,51.0,47,102.51,3,Month-to-month,,West,2020-01-27,1
128,50.0,66,72.03,1,Month-to-month,Debit Card,West,2023-04-22,0
129,65.0,38,57.35,3,Month-to-month,Debit Card,East,2023-03-03,0
130,,51,32.24,0,Two year,Electronic Check,North,2020-05-19,0
131,41.0,63,93.55,3,Two year,Bank Transfer,South,2021-12-01,0
132,54.0,4,,3,One year,Credit Card,East,2022-05-17,0
133,52.0,1,57.14,3,Month-to-month,Electronic Check,West,2020-12-05,0
134,61.0,8,26.25,3,Month-to-month,Credit Card,North,2019-08-22,0
135,57.0,29,100.14,5,One year,Bank Transfer,West,2022-06-23,0
136,39.0,55,96.66,0,Month-to-month,Bank Transfer,West,2020-03-17,1
137,44.0,3,93.36,2,Month-to-month,Bank Transfer,North,2023-04-19,1
138,52.0,32,49.94,2,Two year,Debit Card,East,2020-12-12,0
139,,10,37.35,4,Month-to-month,Bank Transfer,North,2020-09-10,1
140,,34,83.76,0,Month-to-month,Electronic Check,East,2019-12-05,0
141,54.0,55,69.62,3,Month-to-month,Debit Card,West,2023-06-06,0
142,,32,37.83,1,Month-to-month,Credit Card,North,2019-04-21,0
143,31.0,50,88.59,1,Month-to-month,Electronic Check,South,2019-08-15,1
144,20.0,7,,6,One year,Electronic Check,East,2018-01-16,0
145,18.0,8,94.72,2,One year,Credit Card,South,2021-10-15,0
146,22.0,65,94.0,1,Month-to-month,Debit Card,East,2019-05-02,1
147,43.0,57,115.03,2,Two year,Electronic Check,North,2023-02-05,0
148,31.0,67,40.29,2,Month-to-month,Electronic Check,South,2019-12-07,0
149,56.0,59,76.55,2,Month-to-month,Electronic Check,North,2022-03-06,0
150,44.0,54,117.96,3,One year,Debit Card,East,2021-03-10,0
151,26.0,67,36.53,2,One year,Debit Card,East,2019-09-12,0
152,32.0,51,90.03,1,One year,Debit Card,East,2023-01-13,0
153,32.0,8,78.58,5,Two year,Electronic Check,East,2020-10-15,0
154,43.0,34,78.65,2,One year,Bank Transfer,West,2020-02-16,0
155,59.0,35,89.77,3,Two year,,East,2019-03-23,0
156,30.0,32,112.96,2,Month-to-month,Bank Transfer,South,2018-10-17,1
157,68.0,46,98.26,1,One year,Debit Card,East,2018-07-28,0
158,49.0,16,25.61,1,Two year,Electronic Check,North,2022-02-07,0
159,56.0,68,105.27,3,One year,Electronic Check,West,2019-02-17,0
160,66.0,37,42.55,0,Month-to-month,Bank Transfer,South,2019-11-08,0
161,69.0,54,57.69,0,Month-to-month,Bank Transfer,West,2021-12-21,0
162,49.0,14,66.17,1,Month-to-month,Credit Card,West,2023-02-21,0
163,21.0,55,68.09,2,Month-to-month,Electronic Check,West,2021-10-26,0
164,47.0,48,63.52,2,Two year,Bank Transfer,North,2023-01-30,0
165,54.0,7,113.74,2,Month-to-month,Credit Card,West,2019-10-26,0
166,40.0,7,90.6,2,Month-to-month,Debit Card,West,2023-06-14,1
167,56.0,33,83.12,2,Two year,Bank Transfer,East,2018-10-17,0
168,62.0,23,24.98,3,Month-to-month,Debit Card,North,2021-12-26,0
169,32.0,19,110.39,2,Month-to-month,Credit Card,South,2021-07-15,1
170,60.0,19,110.94,1,Month-to-month,Debit Card,South,2018-05-31,1
171,46.0,36,98.02,2,One year,Electronic Check,South,2022-10-09,0
172,53.0,29,20.7,3,Month-to-month,Electronic Check,North,2021-07-02,0
173,30.0,60,25.73,1,Two year,Debit Card,South,2021-10-08,0
174,49.0,2,42.52,3,Month-to-month,Electronic Check,North,2021-11-01,0
175,24.0,1,33.13,1,Month-to-month,Credit Card,East,2022-08-04,0
176,68.0,47,,0,Month-to-month,Electronic Check,East,2020-05-04,0
177,39.0,69,112.26,3,One year,Debit Card,North,2021-10-13,0
178,45.0,20,67.21,3,Month-to-month,Debit Card,South,2019-08-31,0
179,19.0,11,21.34,2,Month-to-month,Debit Card,North,2023-05-19,0
180,59.0,2,48.27,1,Month-to-month,Bank Transfer,North,2019-01-05,0
181,62.0,67,24.46,3,One year,Debit Card,West,2021-06-04,0
182,,12,23.63,5,Month-to-month,Credit Card,North,2019-12-06,1
183,45.0,20,47.57,4,One year,,West,2021-08-19,0
184,45.0,5,47.56,0,One year,Electronic Check,East,2020-04-05,0
185,61.0,37,98.71,2,Month-to-month,Bank Transfer,West,2020-10-01,1
186,61.0,38,117.48,3,Month-to-month,Bank Transfer,North,2021-11-13,1
187,37.0,9,57.12,2,Month-to-month,Credit Card,East,2019-01-12,0
188,47.0,53,62.89,4,Month-to-month,Debit Card,West,2020-08-30,1
189,28.0,44,104.48,4,Month-to-month,Bank Transfer,North,2018-04-28,1
190,45.0,24,46.81,1,Month-to-month,Electronic Check,East,2020-10-25,0
191,42.0,30,35.64,4,Month-to-month,Bank Transfer,West,2019-03-20,1
192,56.0,59,105.31,0,Month-to-month,Bank Transfer,North,2021-10-07,1
193,50.0,14,24.65,1,Month-to-month,Debit Card,North,2020-01-25,0
194,18.0,9,81.97,2,Month-to-month,Bank Transfer,South,2022-04-06,0
195,44.0,40,76.2,1,One year,Credit Card,South,2022-08-15,0
196,69.0,66,54.59,6,Two year,Electronic Check,West,2019-10-02,0
197,30.0,25,51.52,4,Two year,Debit Card,West,2018-05-04,0
198,,22,97.19,4,Month-to-month,Electronic Check,West,2019-10-20,1
199,20.0,4,28.64,2,Month-to-month,Credit Card,North,2021-07-24,0
200,56.0,26,43.68,2,Month-to-month,Credit Card,West,2020-04-01,0
201,23.0,58,,2,Month-to-month,Bank Transfer,North,2021-11-18,0
202,25.0,29,74.83,5,Month-to-month,Bank Transfer,West,2019-10-26,1
203,44.0,37,32.8,2,One year,Bank Transfer,North,2018-12-26,0
204,26.0,70,108.21,3,Month-to-month,Electronic Check,North,2019-09-15,1
205,54.0,18,59.34,3,Month-to-month,Credit Card,South,2022-02-01,0
206,,42,102.79,0,Two year,Debit Card,East,2022-07-10,0
207,68.0,41,98.77,2,Month-to-month,Bank Transfer,North,2022-09-20,1
208,59.0,38,82.44,4,Month-to-month,Electronic Check,West,2020-12-16,1
209,61.0,34,69.45,2,Month-to-month,Bank Transfer,South,2021-06-28,0
210,41.0,17,117.96,0,Month-to-month,Credit Card,West,2023-04-04,1
211,32.0,37,34.5,1,One year,,West,2020-07-07,0
212,49.0,25,92.52,1,Month-to-month,Credit Card,North,2021-03-19,1
213,49.0,27,39.12,1,Month-to-month,Electronic Check,North,2019-03-28,0
214,41.0,57,53.83,3,One year,Bank Transfer,East,2021-03-31,0
215,58.0,31,50.87,2,One year,Credit Card,North,2018-04-30,0
216,69.0,6,114.7,3,Two year,Electronic Check,North,2019-08-05,0
217,66.0,40,116.74,3,One year,Bank Transfer,East,2023-05-02,0
218,66.0,12,38.3,2,Month-to-month,Debit Card,West,2021-10-06,0
219,69.0,53,22.2,1,Month-to-month,Credit Card,East,2018-04-09,0
220,29.0,71,92.0,1,Month-to-month,Bank Transfer,East,2021-04-05,1
221,56.0,10,61.8,5,Month-to-month,Bank Transfer,East,2023-01-08,1
222,19.0,45,28.88,1,One year,Bank Transfer,South,2022-08-14,0
223,20.0,17,88.38,2,One year,Bank Transfer,West,2023-02-05,0
224,66.0,26,74.51,2,Month-to-month,,South,2023-06-23,0
225,,62,118.05,0,Month-to-month,Bank Transfer,South,2019-05-29,1
226,66.0,46,42.74,0,Month-to-month,Electronic Check,North,2019-10-26,0
227,34.0,64,60.4,3,Two year,Credit Card,East,2019-02-05,0
228,66.0,2,74.25,1,Month-to-month,Bank Transfer,East,2018-12-31,0
229,19.0,54,99.17,4,One year,Credit Card,South,2022-05-20,0
230,19.0,65,74.88,4,One year,Electronic Check,North,2021-09-11,0
231,45.0,51,81.29,1,Two year,Electronic Check,North,2019-08-04,0
232,40.0,53,42.61,5,One year,Credit Card,North,2022-07-15,0
233,54.0,36,104.69,1,One year,Bank Transfer,West,2019-09-13,0
234,49.0,26,62.86,0,Month-to-month,Bank Transfer,South,2020-04-07,0
235,50.0,29,34.1,2,Month-to-month,Electronic Check,West,2018-09-04,0
236,18.0,21,86.42,3,Month-to-month,Bank Transfer,North,2019-03-10,1
237,36.0,11,41.61,1,Month-to-month,Electronic Check,North,2021-01-21,0
238,19.0,40,29.76,1,Two year,Bank Transfer,North,2021-07-15,0
239,61.0,11,106.2,1,Month-to-month,Electronic Check,East,2019-09-07,1
240,43.0,36,66.02,3,Two year,Debit Card,South,2020-07-31,0
241,49.0,59,94.93,2,Month-to-month,Bank Transfer,East,2020-08-20,0
242,23.0,39,49.06,2,Month-to-month,Bank Transfer,West,2019-09-16,0
243,49.0,54,98.7,0,Two year,Bank Transfer,East,2018-11-17,0
244,21.0,55,31.19,1,Month-to-month,Credit Card,South,2023-05-01,0
245,28.0,24,55.6,1,Month-to-month,Bank Transfer,East,2023-01-14,0
246,34.0,22,117.81,5,Month-to-month,Credit Card,North,2020-05-05,1
247,55.0,69,99.4,4,One year,Credit Card,West,2018-03-03,0
248,41.0,56,69.73,2,Month-to-month,Electronic Check,West,2018-10-27,0
249,22.0,33,53.98,2,Month-to-month,Credit Card,North,2019-02-07,0
250,69.0,36,107.21,0,Month-to-month,Credit Card,North,2020-08-12,1
251,51.0,20,74.48,0,One year,Debit Card,North,2022-07-30,0
252,23.0,62,95.84,1,One year,Bank Transfer,South,2022-05-10,0
253,39.0,26,95.41,2,Month-to-month,Credit Card,East,2022-07-02,1
254,28.0,66,21.79,3,Month-to-month,Bank Transfer,West,2021-08-19,0
255,65.0,40,32.63,2,One year,Credit Card,East,2022-11-29,0
256,33.0,17,,0,Month-to-month,Electronic Check,North,2018-09-10,1
257,50.0,1,36.16,1,Month-to-month,Debit Card,North,2022-10-24,0
258,26.0,61,45.55,4,Month-to-month,Credit Card,East,2019-04-23,0
259,23.0,43,114.66,1,Two year,Bank Transfer,West,2021-10-24,0
260,33.0,42,76.02,3,Month-to-month,Electronic Check,South,2022-08-30,0
261,46.0,25,95.07,0,Month-to-month,Bank Transfer,East,2023-05-19,1
262,20.0,39,75.8,1,One year,Electronic Check,North,2018-06-09,0
263,37.0,35,75.25,3,One year,Debit Card,North,2020-08-18,0
264,53.0,3,29.42,2,Month-to-month,Electronic Check,South,2021-04-04,0
265,,44,54.37,3,Month-to-month,Bank Transfer,East,2018-07-24,0
266,43.0,51,48.24,1,One year,Bank Transfer,South,2021-07-14,0
267,20.0,12,59.07,1,Two year,Credit Card,South,2021-03-07,0
268,36.0,19,99.83,2,One year,Electronic Check,West,2021-10-23,0
269,37.0,44,57.19,2,Month-to-month,Bank Transfer,West,2022-01-06,0
270,49.0,59,65.17,2,Month-to-month,Credit Card,North,2020-05-07,0
271,24.0,49,59.74,4,Two year,Debit Card,East,2020-01-30,0
272,69.0,61,29.34,1,One year,Bank Transfer,West,2022-05-10,0
273,58.0,17,64.11,2,Month-to-month,Credit Card,North,2023-04-24,0
274,50.0,57,39.56,2,Month-to-month,Bank Transfer,East,2019-12-22,0
275,57.0,55,38.67,2,One year,Electronic Check,North,2020-11-06,0
276,56.0,47,29.4,2,Month-to-month,Credit Card,West,2018-03-09,0
277,35.0,12,55.67,2,Month-to-month,Electronic Check,North,2018-05-13,0
278,57.0,62,95.75,2,Month-to-month,Debit Card,East,2022-09-20,1
279,18.0,8,47.64,1,Month-to-month,Electronic Check,East,2020-07-07,0
280,,21,51.23,1,Month-to-month,Credit Card,North,2019-03-06,0
281,45.0,70,84.27,3,One year,Bank Transfer,East,2018-11-04,0
282,42.0,25,39.58,1,Month-to-month,Credit Card,North,2019-10-12,0
283,67.0,12,109.7,2,Month-to-month,Electronic Check,East,2021-04-12,1
284,40.0,15,72.02,3,Month-to-month,Electronic Check,North,2019-02-16,0
285,48.0,59,64.76,3,Month-to-month,Bank Transfer,North,2018-04-07,0
286,47.0,26,75.78,5,Month-to-month,Debit Card,North,2022-09-03,1
287,59.0,26,,1,Month-to-month,Credit Card,South,2021-03-23,0
288,52.0,47,81.35,3,One year,Bank Transfer,East,2022-09-15,0
289,24.0,32,56.31,2,Month-to-month,Bank Transfer,West,2021-06-19,0
290,33.0,10,109.72,3,Month-to-month,Bank Transfer,North,2021-08-20,1
291,43.0,16,36.89,1,Month-to-month,Credit Card,South,2021-08-01,0
292,65.0,71,70.71,1,Month-to-month,Credit Card,West,2020-11-16,0
293,69.0,17,79.81,4,Two year,Credit Card,North,2021-11-26,0
294,,23,23.34,0,Month-to-month,Debit Card,West,2021-10-15,0
295,19.0,26,56.37,4,Two year,Bank Transfer,South,2020-12-19,0
296,,7,93.26,2,Month-to-month,Electronic Check,West,2018-07-21,1
297,65.0,14,102.04,1,One year,Electronic Check,North,2020-02-01,0
298,29.0,7,51.32,0,Month-to-month,Bank Transfer,West,2020-05-23,0
299,22.0,9,99.86,3,One year,Electronic Check,West,2019-08-04,0
300,54.0,48,116.78,1,Month-to-month,Debit Card,North,2023-06-17,0
301,49.0,59,105.69,1,Month-to-month,Debit Card,South,2019-01-05,1
302,26.0,39,31.76,2,One year,Credit Card,South,2019-06-17,0
303,58.0,18,93.97,0,One year,Credit Card,West,2021-03-21,0
304,52.0,59,,5,Month-to-month,Credit Card,East,2021-01-30,1
305,36.0,17,118.84,3,Month-to-month,Credit Card,West,2020-06-17,1
306,65.0,14,68.54,0,Month-to-month,Credit Card,East,2019-08-30,0
307,33.0,31,32.24,3,One year,Electronic Check,West,2022-01-09,0
308,20.0,24,92.52,1,Month-to-month,Electronic Check,South,2020-05-22,1
309,37.0,60,52.3,0,Month-to-month,Credit Card,West,2021-06-06,0
310,41.0,45,119.71,1,One year,Debit Card,West,2021-02-22,0
311,50.0,3,117.98,1,Two year,Electronic Check,East,2020-02-09,0
312,41.0,37,,1,One year,Debit Card,South,2020-04-13,0
313,69.0,43,32.98,0,One year,Debit Card,East,2020-09-25,0
314,28.0,40,88.69,1,One year,,West,2023-03-20,0
315,66.0,55,29.3,2,Month-to-month,Bank Transfer,North,2020-07-26,0
316,25.0,39,22.94,4,Month-to-month,Credit Card,West,2018-08-24,1
317,53.0,15,102.3,3,One year,Debit Card,West,2018-06-11,0
318,55.0,4,40.98,1,Month-to-month,Electronic Check,East,2019-07-08,0
319,57.0,25,57.9,3,Two year,Bank Transfer,North,2020-02-27,0
320,37.0,13,117.35,1,Month-to-month,,North,2021-10-08,1
321,52.0,33,53.68,2,Month-to-month,Debit Card,East,2020-12-27,0
322,65.0,16,49.65,2,Two year,Bank Transfer,South,2021-04-11,0
323,42.0,42,111.82,2,One year,Bank Transfer,North,2023-02-10,0
324,52.0,66,31.07,1,Month-to-month,Electronic Check,North,2022-07-19,0
325,42.0,55,95.96,0,One year,Debit Card,East,2022-09-02,0
326,46.0,42,118.81,3,One year,Bank Transfer,South,2019-07-13,0
327,35.0,34,110.13,1,Month-to-month,Debit Card,South,2018-09-18,1
328,63.0,30,85.17,0,Month-to-month,Bank Transfer,West,2018-08-05,1
329,35.0,13,51.41,2,One year,Electronic Check,West,2023-01-15,0
330,19.0,13,45.43,0,Two year,Debit Card,East,2021-02-21,0
331,52.0,18,101.93,1,Month-to-month,Bank Transfer,South,2020-03-15,1
332,33.0,32,107.98,2,Two year,Electronic Check,East,2021-03-31,0
333,58.0,39,,1,Two year,Bank Transfer,West,2018-07-20,0
334,53.0,46,44.43,5,Month-to-month,Debit Card,East,2022-01-17,0
335,50.0,29,31.29,3,One year,Bank Transfer,East,2019-02-06,0
336,21.0,62,28.72,1,Month-to-month,Debit Card,North,2022-01-25,0
337,50.0,62,91.91,1,Month-to-month,Debit Card,North,2018-10-02,1
338,31.0,57,62.01,0,One year,,North,2018-07-25,0
339,38.0,16,110.54,0,Two year,Electronic Check,West,2020-11-29,0
340,65.0,56,93.97,2,One year,Credit Card,East,2021-07-20,0
341,37.0,10,39.13,2,Month-to-month,Electronic Check,North,2022-09-20,0
342,25.0,30,81.38,4,Month-to-month,Electronic Check,North,2020-05-16,1
343,24.0,25,63.55,0,Month-to-month,,North,2018-04-03,0
344,20.0,5,77.72,1,Month-to-month,Electronic Check,West,2020-12-01,0
345,34.0,65,93.81,1,Month-to-month,Electronic Check,West,2022-01-28,1
346,50.0,49,100.62,1,Month-to-month,Credit Card,East,2019-01-14,1
347,65.0,3,104.37,2,Month-to-month,Electronic Check,East,2021-02-04,1
348,29.0,45,45.4,0,One year,Credit Card,East,2021-09-13,0
349,68.0,14,23.11,1,Month-to-month,Bank Transfer,North,2018-03-06,0
350,39.0,30,93.93,0,Month-to-month,Credit Card,South,2018-12-31,1
351,39.0,68,30.63,3,Month-to-month,Debit Card,West,2020-03-31,0
352,63.0,18,51.49,2,Month-to-month,Debit Card,North,2022-02-16,0
353,47.0,62,20.38,1,Month-to-month,Credit Card,North,2022-07-29,0
354,55.0,37,88.17,1,Month-to-month,Debit Card,East,2023-04-09,1
355,,25,36.71,2,Two year,Bank Transfer,East,2020-11-13,0
356,62.0,48,85.53,1,Month-to-month,Debit Card,North,2019-06-24,1
357,68.0,65,119.17,0,One year,,West,2020-12-21,0
358,25.0,53,27.27,5,Two year,Bank Transfer,West,2019-05-06,0
359,44.0,15,,4,One year,Debit Card,North,2021-07-20,0
360,44.0,49,54.04,2,Month-to-month,Bank Transfer,South,2018-08-17,0
361,51.0,68,106.64,0,Two year,Credit Card,South,2020-11-09,0
362,38.0,12,,3,Month-to-month,Debit Card,West,2018-01-03,0
363,47.0,59,56.04,2,Month-to-month,Bank Transfer,East,2021-12-15,0
364,50.0,37,26.85,6,Two year,Bank Transfer,South,2022-10-20,0
365,45.0,61,96.32,3,One year,Debit Card,South,2020-06-29,0
366,64.0,43,60.83,1,Month-to-month,Bank Transfer,East,2018-11-03,0
367,50.0,70,95.92,2,Month-to-month,Bank Transfer,South,2019-03-08,1
368,22.0,39,110.36,1,Month-to-month,Credit Card,North,2018-05-16,0
369,65.0,56,43.28,3,Month-to-month,Credit Card,South,2023-04-17,0
370,36.0,63,100.74,0,Month-to-month,Credit Card,East,2023-05-22,1
371,21.0,46,25.91,4,Two year,Credit Card,North,2019-05-30,0
372,52.0,11,109.88,3,Two year,Credit Card,South,2018-07-12,0
373,66.0,62,85.08,1,Two year,Credit Card,West,2022-05-28,0
374,34.0,25,107.42,2,Month-to-month,Debit Card,North,2021-12-09,1
375,61.0,71,20.02,0,One year,Credit Card,North,2020-05-22,0
376,45.0,52,36.91,6,Two year,Bank Transfer,West,2021-02-15,0
377,47.0,4,58.98,3,Two year,Debit Card,West,2019-10-28,0
